event_id,vehicle_no,vehicle_type,zone,slot,entry_time,exit_time,payment_method,parking_rate_per_hour
6295f2ae-48ab-4e22-a139-23005cac386c,0B-UZOM,van,C,C24,2026-04-14 00:06:31,2026-04-14 02:03:31,card,3.5
0837a38c-9136-4971-867d-3d2fb3c7f805,7-2245Y,van,C,C38,2026-04-14 03:33:31,2026-04-14 04:27:31,app,3.5
f28950c4-5f27-4c4c-b7d5-713660fdfadf,SBK-041,van,C,C41,2026-04-13 15:21:31,2026-04-13 18:42:31,cash,3.5
e34d91fd-6fc0-4487-9c04-b3ee10f62e89,KQQ 567,van,C,C40,2026-04-14 00:23:31,2026-04-14 05:14:31,cash,3.5
df0ecbc7-c2a5-4a5c-bbc4-b36439e188f7,11O 6353,van,B,B29,2026-04-14 09:38:31,2026-04-14 10:21:31,app,3.5
3adc0e98-ae10-4241-afb5-bcecc66c1683,5-5061K,suv,C,C33,2026-04-13 13:13:31,2026-04-13 14:54:31,card,3.0
6188c5c1-3dc4-42dd-ad08-cf4ba6b18281,1-38524T,van,C,C25,2026-04-13 18:43:31,2026-04-13 20:28:31,cash,3.5
adc79381-903c-4ae0-8273-6296a6e3391e,2X932,suv,A,A31,2026-04-14 08:17:31,2026-04-14 11:02:31,card,3.0
e74ba9e6-fce5-40a2-9ad1-4182f1a04b92,5Z-BTBN,motorbike,C,C5,2026-04-14 00:14:31,2026-04-14 04:11:31,cash,1.0
c0ad9935-0d54-4d33-9759-44d6c9c4b341,6VQ13,van,B,B47,2026-04-14 02:26:31,2026-04-14 08:07:31,cash,3.5
4ccd41b6-95ba-4cf3-b564-be03aed03dfb,610 8PM,motorbike,C,C4,2026-04-13 15:19:31,2026-04-13 17:47:31,app,1.0
82ba777c-fd26-4eb0-939c-63def1293b1f,08YS5,car,C,C29,2026-04-13 23:32:31,2026-04-14 00:10:31,app,2.5
57abc00c-1127-49e1-a52e-66219024e354,948-UVCF,car,A,A18,2026-04-13 22:47:31,2026-04-14 02:04:31,app,2.5
6de3c455-23b8-4fe3-94ba-cc0a3c180afc,656-BEL,suv,B,B50,2026-04-14 10:02:31,2026-04-14 13:40:31,cash,3.0
e4405177-52c1-4ad3-8e9a-81976df9e623,ZIC 222,car,B,B26,2026-04-13 17:27:31,2026-04-13 22:14:31,cash,2.5
9ea746c6-af70-4470-b616-71af327bce1c,240 KPL,motorbike,C,C43,2026-04-14 05:37:31,2026-04-14 08:00:31,card,1.0
6e77f7e5-5bcf-4388-94bf-8db942480460,ZDB 773,suv,C,C39,2026-04-13 16:37:31,2026-04-13 19:31:31,app,3.0
e06aa5f4-7a59-44e2-910d-57c726344b01,1B 15472,suv,B,B20,2026-04-13 17:38:31,2026-04-13 21:54:31,app,3.0
2d3c348f-b258-4803-9893-554efa792b16,XHS-815,suv,C,C4,2026-04-14 06:20:31,2026-04-14 12:10:31,cash,3.0
